2013-10-29 15:51:56  INFO | stat() problem with //etc/eucalyptus/faults/en_US/: No such file or directory
2013-10-29 15:51:56  INFO | initializing CC configuration
2013-10-29 15:51:56  INFO |  VNET Configuration: eucahome=//,
2013-10-29 15:51:56  INFO |                      path=//var/run/eucalyptus/net,
2013-10-29 15:51:56  INFO |                      dhcpdaemon=/usr/sbin/dhcpd41,
2013-10-29 15:51:56  INFO |                      dhcpuser=root,
2013-10-29 15:51:56  INFO |                      pubInterface=eth0,
2013-10-29 15:51:56  INFO |                      privInterface=em4,
2013-10-29 15:51:56  INFO |                      bridgedev=,
2013-10-29 15:51:56  INFO |                      networkMode=STATIC
2013-10-29 15:51:56  INFO |    CC Configuration: eucahome=//
2013-10-29 15:51:56  INFO |                      policyfile=//var/lib/eucalyptus/keys/nc-client-policy.xml
2013-10-29 15:51:56  INFO |                      ws-security=ENABLED
2013-10-29 15:51:56  INFO |                      schedulerPolicy=ROUNDROBIN
2013-10-29 15:51:56  INFO |                      idleThreshold=300
2013-10-29 15:51:56  INFO |                      wakeThreshold=300
2013-10-29 15:51:56  INFO | initialized sensor shared memory
2013-10-29 15:51:56  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:51:56  INFO | stat() problem with //etc/eucalyptus/faults/en_US/: No such file or directory
2013-10-29 15:51:56  INFO | starting service
2013-10-29 15:51:56  INFO | stat() problem with //etc/eucalyptus/faults/en_US/: No such file or directory
2013-10-29 15:51:56  INFO | stat() problem with //etc/eucalyptus/faults/en_US/: No such file or directory
2013-10-29 15:51:56  INFO | disabling service
2013-10-29 15:51:56  INFO | stat() problem with //etc/eucalyptus/faults/en_US/: No such file or directory
2013-10-29 15:51:57  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:51:58  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:51:59  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:52:00  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:52:01  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:52:02  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:52:03  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:52:04  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:52:05  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:52:07  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:52:08  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:52:09  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:52:10  WARN | cloudIp is not yet set, not installing redirect rule
2013-10-29 15:52:10  INFO | enabling service
2013-10-29 15:52:11 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:52:11 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:52:11 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:52:11  INFO | instances: 0000 (0000 extant + 0000 pending + 0000 terminated)
2013-10-29 15:52:11  INFO |     nodes: 0001 (0000 busy + 0000 idle + 0001 unresponsive)
2013-10-29 15:52:12  INFO | stat() problem with //etc/eucalyptus/faults/en_US/: No such file or directory
2013-10-29 15:52:17 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:52:17 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:52:17 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:52:23 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:52:23 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:52:23 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:52:29 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:52:29 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:52:29 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:52:35 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:52:35 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:52:35 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:52:41 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:52:41 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:52:41 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:52:47 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:52:47 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:52:47 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:52:53 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:52:53 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:52:53 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:53:00 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:53:00 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:53:00 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:53:06 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:53:06 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:53:06 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:53:12 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:53:12 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
